id;cp;localidad;idProvincia
1;1761;20 De Junio;1
2;6660;25 De Mayo;1
3;6405;30 De Agosto;1
4;1776;9 De Abril;1
5;6500;9 De Julio Estafeta Nº2;1
6;6500;9 De Julio (Partido Nueve De Julio);1
7;1903;Abasto;1
8;7228;Abbott;1
9;6450;Abel;1
10;8170;Abra De Hinojo;1
11;1640;Acassuso;1
12;7003;Aceilan;1
13;2717;Acevedo;1
14;6627;Achupallas;1
15;7136;Adela;1
16;8000;Adela Corti;1
17;6430;Adolfo Alsina;1
18;1901;Adolfo F. Orma (Apeadero F.G.B.);1
19;7513;Adolfo Gonzalez Chaves;1
20;1612;Adolfo Sourdeaux;1
21;1846;Adrogue;1
22;1722;Aerodromo Albatros;1
23;1802;Aeropuerto Ezeiza;1
24;6608;Agote;1
25;1746;Agua De Oro;1
26;8105;Aguara;1
27;2701;Aguas Corrientes;1
28;2915;Aguirrezabala;1
29;1723;Agustin Ferrari;1
30;6667;Agustin Mosconi;1
31;6001;Agustin Roca;1
32;6001;Agustina;1
33;6463;Alagon;1
34;6437;Alamos;1
35;6703;Alastuey (Apeadero F.C.G.U.);1
36;6405;Albariño;1
37;6034;Alberdi;1
38;6634;Alberti;1
39;8101;Aldea Romana;1
40;8126;Aldea San Andres;1
41;7406;Aldecon;1
42;1770;Aldo Bonzi;1
43;1987;Alegre;1
44;1864;Alejandro Korn;1
45;1808;Alejandro Petion (Apeadero Fcgr);1
46;6437;Alfa;1
47;6555;Alfalad;1
48;8117;Alferez San Martin;1
49;6533;Alfredo Demarchi;1
50;6531;Algarrobo (Colonia Mauricio, Pdo. C. Casares);1
51;2935;Algarrobo (Ing. Moneta, Pdo. San Pedro);1
52;8136;Algarrobo (Pdo.Villarino);1
53;1676;Alianza Almacenes;1
54;1676;Alianza Talleres;1
55;2751;Almacen Castro;1
56;2752;Almacen Del Descanso;1
57;2751;Almacen El Cruce;1
58;2740;Almacen La Colonia;1
59;2711;Almacen Piatti;1
60;1676;Almacenes Ffcc.Gral.San Martin;1
61;1846;Almirante Brown;1
62;1629;Almirante Irizar;1
63;8109;Almirante Solier;1
64;2938;Alsina;1
65;8181;Alta Vista;1
66;6601;Altamira;1
67;1986;Altamirano;1
68;1617;Alto Del Talar;1
69;2801;Alto Verde;1
70;7303;Altona;1
71;1806;Altos De Tristan Suarez;1
72;7267;Alvarez De Toledo;1
73;1921;Alvarez Jonte;1
74;7403;Alvaro Barros;1
75;7021;Alzaga;1
76;6516;Amalia;1
77;8508;Ambrosio P. Lezica;1
78;6064;Ameghino;1
79;6237;America;1
80;6607;Anasagasti;1
81;6451;Ancon;1
82;6555;Andant;1
83;6621;Anderson;1
84;6634;Andres Vaccarezza;1
85;7011;Aneque Grande;1
86;1901;Angel Etcheverry;1
87;7243;Antonio Carboni;1
88;7305;Antonio De Los Heros;1
89;8158;Aparicio;1
90;1909;Arana;1
91;6443;Arano;1
92;6643;Araujo;1
93;6557;Arboledas;1
94;1915;Arbuco (Desvio Fcgr);1
95;6005;Arenales;1
96;6075;Arenaza;1
97;8134;Argerich;1
98;8164;Arguedas (Desvio);1
99;7163;Arias;1
100;7301;Ariel;1
101;1602;Aristobulo Del Valle;1
102;2740;Arrecifes;1
103;6007;Arribeños;1
104;1649;Arroyo Abra Vieja;1
105;1649;Arroyo Aguaje Del Durazno;1
106;8174;Arroyo Aguas Blancas;1
107;2800;Arroyo Aguila Negra;1
108;1649;Arroyo Albarracin;1
109;2805;Arroyo Aleli;1
110;1649;Arroyo Amantes;1
111;1649;Arroyo Amarillo;1
112;1649;Arroyo Amarillo Palmas;1
113;1649;Arroyo Andresito;1
114;1649;Arroyo Angelito;1
115;1649;Arroyo Angostura;1
116;1649;Arroyo Anguilas;1
117;1649;Arroyo Animas;1
118;1649;Arroyo Animitas;1
119;1649;Arroyo Antequera;1
120;1649;Arroyo Antequerita;1
121;1649;Arroyo Arroyon;1
122;1649;Arroyo Arroyon De Felicaria;1
123;1649;Arroyo Baldosas;1
124;1649;Arroyo Baltico;1
125;1649;Arroyo Banco;1
126;1649;Arroyo Barca Grande;1
127;1649;Arroyo Boca Falsa;1
128;1649;Arroyo Borasso;1
129;1649;Arroyo Borches;1
130;2800;Arroyo Botija Falsa;1
131;1649;Arroyo Buena Vista;1
132;2935;Arroyo Burgos;1
133;1649;Arroyo Busto;1
134;1649;Arroyo Caguane;1
135;1649;Arroyo Camachito;1
136;1649;Arroyo Camacho;1
137;1649;Arroyo Canaleton;1
138;1649;Arroyo Cancha Larga;1
139;1625;Arroyo Canelon;1
140;1649;Arroyo Canelones;1
141;1649;Arroyo Capitan Chico;1
142;1649;Arroyo Capitancito;1
143;1649;Arroyo Caraballo;1
144;1649;Arroyo Carabelas;1
145;1649;Arroyo Carabelitas;1
146;1649;Arroyo Caracoles;1
147;1649;Arroyo Caraguata;1
148;1649;Arroyo Carancho;1
149;1649;Arroyo Carapuati;1
150;1649;Arroyo Carlos M. Noel;1
151;1649;Arroyo Carnicero;1
152;1649;Arroyo Carpincho (Pdo. San Fernando);1
153;1649;Arroyo Ciego;1
154;1649;Arroyo Ciego Del Estudiante;1
155;1649;Arroyo Cieguito;1
156;1649;Arroyo Ciervo;1
157;1649;Arroyo Concepcion;1
158;1649;Arroyo Confiterito Palmas;1
159;1649;Arroyo Confitero;1
160;1649;Arroyo Correa;1
161;1649;Arroyo Correntino;1
162;1649;Arroyo Correntoso (Barca Grande);1
163;8172;Arroyo Corto (Pdo. Saavedra);1
164;1649;Arroyo Corto (Tigre - Pdo. Campana);1
165;1649;Arroyo Cruces;1
166;1649;Arroyo Cruz Colorada;1
167;1649;Arroyo Cruz Del Cambado;1
168;1649;Arroyo Cruz Del Sauce;1
169;1649;Arroyo Cuarenta;1
170;1649;Arroyo Cuevas Malas;1
171;1649;Arroyo Curubica;1
172;1649;Arroyo Chana;1
173;1649;Arroyo Chanacillo;1
174;1649;Arroyo Chanacito;1
175;1649;Arroyo Chileno;1
176;1649;Arroyo Chiquerito;1
177;1649;Arroyo Chiquero;1
178;1649;Arroyo Chivico;1
179;1649;Arroyo Churrasco;1
180;2813;Arroyo De La Cruz;1
181;2805;Arroyo De Las Cruces;1
182;1649;Arroyo De Las Gaviotas;1
183;7301;Arroyo De Los Huesos;1
184;1649;Arroyo De Los Nogales;1
185;1649;Arroyo De Los Tigres;1
186;2752;Arroyo De Luna;1
187;1649;Arroyo Del Canal;1
188;2113;Arroyo Del Medio;1
189;1923;Arroyo Del Pescado;1
190;1649;Arroyo Del Pobre;1
191;1649;Arroyo Dentudo;1
192;1649;Arroyo Desaguadero De Borches;1
193;1649;Arroyo Desaguadero Del Sauce;1
194;1649;Arroyo Desengaño;1
195;1649;Arroyo Diablo;1
196;1649;Arroyo Dominguito;1
197;1649;Arroyo Dorado;1
198;1649;Arroyo Dos Puntas;1
199;2743;Arroyo Dulce;1
200;1649;Arroyo Duraznito;1
201;1649;Arroyo Durazno;1
202;1649;Arroyo Eduardo;1
203;2805;Arroyo El Ahogado;1
204;1649;Arroyo El Cazador;1
205;6437;Arroyo El Chingolo;1
206;1649;Arroyo El Negro;1
207;1649;Arroyo El Plata;1
208;1649;Arroyo El Rodeo;1
209;1647;Arroyo El Toro;1
210;1649;Arroyo Espadaña;1
211;1649;Arroyo Espera;1
212;1649;Arroyo Espera Grande;1
213;1649;Arroyo Esperita;1
214;1649;Arroyo Estudiante;1
215;1649;Arroyo Estudiante Chico;1
216;1649;Arroyo Felicaria;1
217;1649;Arroyo Felipe;1
218;1649;Arroyo Felix;1
219;1649;Arroyo Fermin;1
220;1649;Arroyo Fontana;1
221;1649;Arroyo Francisco;1
222;1649;Arroyo Fredes;1
223;1649;Arroyo Fulminante;1
224;1649;Arroyo Galpon;1
225;1649;Arroyo Gallito;1
226;1649;Arroyo Gallo Fiambre;1
227;1649;Arroyo Gambado;1
228;1649;Arroyo Gaviotas;1
229;1649;Arroyo Gelvez;1
230;1649;Arroyo Glorieta;1
231;7174;Arroyo Grande (Cnel. Vidal, Pdo. Mar Chiquita);1
232;1649;Arroyo Grande (Tigre - Pdo. San Fernando);1
233;1649;Arroyo Guaycara;1
234;1649;Arroyo Guazu Nambi;1
235;1649;Arroyo Guazucito;1
236;1649;Arroyo Gutierrez;1
237;1649;Arroyo Hermana Grande;1
238;1649;Arroyo Hermana Primera;1
239;1649;Arroyo Hermana Segunda;1
240;1649;Arroyo Idahone;1
241;1649;Arroyo Inca;1
242;1649;Arroyo La Barquita;1
243;1649;Arroyo La Casilla;1
244;1649;Arroyo La Castilla;1
245;1649;Arroyo La Glorieta;1
246;1649;Arroyo La Horca;1
247;1649;Arroyo La Linda;1
248;1923;Arroyo La Maza;1
249;1649;Arroyo La Negra;1
250;1649;Arroyo La Raya;1
251;1649;Arroyo Laguna;1
252;1649;Arroyo Laguna Grande;1
253;1649;Arroyo Largo;1
254;1649;Arroyo Las Baldosas;1
255;1649;Arroyo Las Bogas;1
256;1649;Arroyo Las Cañas;1
257;1649;Arroyo Las Casas;1
258;2805;Arroyo Las Cruces;1
259;1649;Arroyo Las Naciones;1
260;1649;Arroyo Las Piedras;1
261;2805;Arroyo Las Rosas (Campana - Pdo. Campana);1
262;1625;Arroyo Las Rosas (Escobar - Pdo. Escobar);1
263;1649;Arroyo Las Rosas (Tigre - Pdo. Tigre);1
264;1649;Arroyo Las Viboras;1
265;1649;Arroyo Las Viudas;1
266;1649;Arroyo Lazaro;1
267;1649;Arroyo Leiva;1
268;1649;Arroyo Lima;1
269;1649;Arroyo Los Grillos;1
270;1649;Arroyo Los Lobos (Pdo.San Fernando);1
271;1649;Arroyo Los Negros;1
272;2805;Arroyo Los Tigres;1
273;1649;Arroyo Machado;1
274;1649;Arroyo Malo;1
275;1649;Arroyo Malvinas;1
276;1649;Arroyo Manzano De La Barca;1
277;1649;Arroyo Manzano De Medina;1
278;1649;Arroyo Martinez (Tigre - Pdo. Tigre);1
279;1649;Arroyo Medina;1
280;1649;Arroyo Melindre;1
281;1649;Arroyo Mendez Chico;1
282;1649;Arroyo Mendez Grande;1
283;1649;Arroyo Moran;1
284;1649;Arroyo Morancito;1
285;1649;Arroyo Moras;1
286;1649;Arroyo Naciones;1
287;2800;Arroyo Ñacurutu;1
